Designators,Casing,Section,Subsection,Category,Manufacturer,Part_Number,Description,number_elements,unit,Quantity_per_element,Has_datasheet_info,L_mm,W_mm,H_mm,Volume_cm3_excel,Density_min_g_cm3,Density_max_g_cm3,Metal_extra_g,mass_space_relation_m2/kg,Database,Ecoinvent_flow,Ecoinvent_unit,Direction,Comments,,,,,,,,,,,,,,,
"C92_CONTACT_OUT_0, C92_CONTACT_OUT_1, C92_CONTACT_OUT_2, C92_CONTACT_OUT_3, C92_CONTACT_OUT_4, C92_CONTACT_OUT_5",0805,Passives,Capacitors,MLCC,GENERIC,CC0805_1UF_100V_10%_X7S,"SMD Multilayer Chip Ceramic Capacitor, 1µF, 100V, X7S, 0805",6,kg,,NO,2.0,1.25,0.8,,6,7,0,,EcoInvent,"capacitor production, for surface-mounting",kg,Input,"Dimmensiones information: https://www.torchcapacitor.com/high-q-multylayer-ceramic-chip-capacitor-0402 ",,,,,,,,,,,,,,,
"C105, C107, C163, C164, C225_P24V_FUSE1, C225_P24V_FUSE2, C225_P24V_FUSE3, C225_P24V_FUSE4, C225_P24V_FUSE5, C225_P24V_FUSE6, C225_P24V_FUSE7, C225_P24V_FUSE8, C226_P24V_FUSE1, C226_P24V_FUSE2, C226_P24V_FUSE3, C226_P24V_FUSE4, C226_P24V_FUSE5, C226_P24V_FUSE6, C226_P24V_FUSE7, C226_P24V_FUSE8",0603,Passives,Capacitors,MLCC,GENERIC,CC0603_100NF_50V_10%_X7R,"SMD Multilayer Chip Ceramic Capacitor, 100nF, 50V, X7R, 0603",20,kg,,NO,1.6,0.8,0.8,,6,7,0,,EcoInvent,"capacitor production, for surface-mounting",kg,Input,"Dimmensiones information: https://www.torchcapacitor.com/high-q-multylayer-ceramic-chip-capacitor-0402 ",,,,,,,,,,,,,,,
C114,1808,Passives,Capacitors,MLCC,GENERIC,CC1808_1NF_3000V_10%_X7R,"SMD Multilayer Chip Ceramic Capacitor, 1nF, 3000V, X7R, 1808",1,kg,,NO,4.5,2.0,1.6,,6,7,0,,EcoInvent,"capacitor production, for surface-mounting",kg,Input,"Dimmensions info: https://www.fhcomp.com/en/product_page/?code=010103&page=57",,,,,,,,,,,,,,,
C158,0402,Passives,Capacitors,MLCC,GENERIC,CC0402_NO-VALUE,"Reserved Footprint For 0402(1005) Chip Ceramic Capacitor",1,kg,,NO,1.0,0.5,0.5,,6,7,0,,EcoInvent,"capacitor production, for surface-mounting",kg,Input,"Dimmensiones information: https://www.torchcapacitor.com/high-q-multylayer-ceramic-chip-capacitor-0402 ",,,,,,,,,,,,,,,
C159,0402,Passives,Capacitors,MLCC,GENERIC,CC0402_NO-VALUE,"Reserved Footprint For 0402(1005) Chip Ceramic Capacitor",1,kg,,NO,1.0,0.5,0.5,,6,7,0,,EcoInvent,"capacitor production, for surface-mounting",kg,Input,"Dimmensiones information: https://www.torchcapacitor.com/high-q-multylayer-ceramic-chip-capacitor-0402 ",,,,,,,,,,,,,,,
C161,0402,Passives,Capacitors,MLCC,GENERIC,CC0402_15NF_50V_5%_X7R,"SMD Multilayer Chip Ceramic Capacitor, 15nF, 50V, X7R, 0402",1,kg,,NO,1.0,0.5,0.5,,6,7,0,,EcoInvent,"capacitor production, for surface-mounting",kg,Input,"Dimmensiones information: https://www.torchcapacitor.com/high-q-multylayer-ceramic-chip-capacitor-0402 ",,,,,,,,,,,,,,,
C162,0402,Passives,Capacitors,MLCC,GENERIC,CC0402_47PF_50V_5%_C0G,"SMD Multilayer Chip Ceramic Capacitor, 47pF, 50V, C0G, 0402",1,kg,,NO,1.0,0.5,0.5,,6,7,0,,EcoInvent,"capacitor production, for surface-mounting",kg,Input,"Dimmensiones information: https://www.torchcapacitor.com/high-q-multylayer-ceramic-chip-capacitor-0402 ",,,,,,,,,,,,,,,
"C168_DIG_IND_IN_1, C168_DIG_IND_IN_2, C168_DIG_IND_IN_3, C168_DIG_IND_IN_4, C168_DIG_IND_IN_5, C168_DIG_IND_IN_6, C168_DIG_IND_IN_7, C168_DIG_IND_IN_8, C168_DIG_IND_IN_9, C168_DIG_IND_IN_10, C168_DIG_IND_IN_11, C168_DIG_IND_IN_12, C168_DIG_IND_IN_13, C168_DIG_IND_IN_14",0603,Passives,Capacitors,MLCC,GENERIC,CC0603_100NF_50V_10%_X7R,"SMD Multilayer Chip Ceramic Capacitor, 100nF, 50V, X7R, 0603",14,kg,,NO,1.6,0.8,0.8,,6,7,0,,EcoInvent,"capacitor production, for surface-mounting",kg,Input,"Dimmensiones information: https://www.torchcapacitor.com/high-q-multylayer-ceramic-chip-capacitor-0402 ",,,,,,,,,,,,,,,
"C169_DIG_IND_IN_1, C169_DIG_IND_IN_2, C169_DIG_IND_IN_3, C169_DIG_IND_IN_4, C169_DIG_IND_IN_5, C169_DIG_IND_IN_6, C169_DIG_IND_IN_7, C169_DIG_IND_IN_8, C169_DIG_IND_IN_9, C169_DIG_IND_IN_10, C169_DIG_IND_IN_11, C169_DIG_IND_IN_12, C169_DIG_IND_IN_13, C169_DIG_IND_IN_14",0603,Passives,Capacitors,MLCC,GENERIC,CC0603_100NF_50V_10%_X7R,"SMD Multilayer Chip Ceramic Capacitor, 100nF, 50V, X7R, 0603",14,kg,,NO,1.6,0.8,0.8,,6,7,0,,EcoInvent,"capacitor production, for surface-mounting",kg,Input,"Dimmensiones information: https://www.torchcapacitor.com/high-q-multylayer-ceramic-chip-capacitor-0402 ",,,,,,,,,,,,,,,
"C176, C180, C265, C266",0805,Passives,Capacitors,MLCC,GENERIC,CC0805_1UF_100V_10%_X7S,"SMD Multilayer Chip Ceramic Capacitor, 1µF, 100V, X7S, 0805",6,kg,,NO,2.0,1.25,0.8,,6,7,0,,EcoInvent,"capacitor production, for surface-mounting",kg,Input,"0805 MLCC.",,,,,,,,,,,,,,,
"C181, C227_P24V_FUSE1, C227_P24V_FUSE2, C227_P24V_FUSE3, C227_P24V_FUSE4, C227_P24V_FUSE5, C227_P24V_FUSE6, C227_P24V_FUSE7, C227_P24V_FUSE8",0402,Passives,Capacitors,MLCC,GENERIC,CC0402_10NF_25V_10%_X7R,"SMD Multilayer Chip Ceramic Capacitor, 10nF, 25V, X7R, 0402",9,kg,,NO,1.0,0.5,0.5,,6,7,0,,EcoInvent,"capacitor production, for surface-mounting",kg,Input,"Dimmensiones information: https://www.torchcapacitor.com/high-q-multylayer-ceramic-chip-capacitor-0402 ",,,,,,,,,,,,,,,
"C209, C210",0402,Passives,Capacitors,MLCC,GENERIC,CC0402_33PF_50V_5%_C0G,"SMD Multilayer Chip Ceramic Capacitor, 33pF, 50V, C0G, 0402",2,kg,,NO,1.0,0.5,0.5,,6,7,0,,EcoInvent,"capacitor production, for surface-mounting",kg,Input,"Dimmensiones information: https://www.torchcapacitor.com/high-q-multylayer-ceramic-chip-capacitor-0402 ",,,,,,,,,,,,,,,
"C243, C244, C245, C246, C251, C252, C253",0402,Passives,Capacitors,MLCC,GENERIC,CC0402_470NF_50V_10%_X5R,"SMD Multilayer Chip Ceramic Capacitor, 470nF, 50V, X5R, 0402",7,kg,,NO,1.0,0.5,0.5,,6,7,0,,EcoInvent,"capacitor production, for surface-mounting",kg,Input,"Dimmensiones information: https://www.torchcapacitor.com/high-q-multylayer-ceramic-chip-capacitor-0402 ",,,,,,,,,,,,,,,
C263,0402,Passives,Capacitors,MLCC,GENERIC,CC0402_100PF_50V_5%_C0G,"SMD Multilayer Chip Ceramic Capacitor, 100pF, 50V, C0G, 0402",1,kg,,NO,1.0,0.5,0.5,,6,7,0,,EcoInvent,"capacitor production, for surface-mounting",kg,Input,"Dimmensiones information: https://www.torchcapacitor.com/high-q-multylayer-ceramic-chip-capacitor-0402 ",,,,,,,,,,,,,,,
"D1, D3, D4, D5, D6, D7, D8, D9, D10, D11, D12, D13, D14, D34, D35, D36, D37, D40, D41, D42, D43, D44, D45, D46",SOD523,Discrete Semiconductors,Small Signal,Diode,ON SEMICONDUCTOR,ESD351DPY,"1 Channel 30KV ESD Protection Diode with Low Clamping Voltage",24,kg,0.0000016,YES,,,,,,,,,EcoInvent,"diode production, glass-, for surface-mounting",kg,Input,"mas info: https://www.mouser.ch/ProductDetail/Texas-Instruments/ESD321DPYR?qs=w%2Fv1CP2dgqoz82xSjB3hKw%3D%3D&utm_id=22436684839&utm_source=google&utm_medium=cpc&utm_marketing_tactic=emeacorp&gad_source=1&gad_campaignid=22433179847&gbraid=0AAAAADn_wf1l8ruSsPF_DckQU7MzW_QXa&gclid=CjwKCAjwspPOBhB9EiwATFbi5Gb6CfCx7bDV5PaCgnjfeVkPBUioh6SyvV-N967xG0ujy-XaX5kZMxoCOPkQAvD_BwE",,,,,,,,,,,,,,,
D2,SOT23,Discrete Semiconductors,ESD Protection,NXP,PRTR5V0U2X,40V 200mA PNP General Purpose Transistor,"Ultra Low Capacitance (1pF) Double Rail-to-Rail ESD Protection Diode (8kV)",1,kg,,NO,2.9,1.3,1,,1.2,1.3,0.0035,,EcoInvent,"diode production, glass-, for surface-mounting",kg,Input,"SOT23-3 package; mass standard from casing.",,,,,,,,,,,,,,,
"D15_CONTACT_OUT_0, D15_CONTACT_OUT_1, D15_CONTACT_OUT_2, D15_CONTACT_OUT_3, D15_CONTACT_OUT_4, D15_CONTACT_OUT_5",DO214AC,Discrete Semiconductors,Small Signal,TVS,BOURNS,SMAJ60CA,"Surface Mount Bi-directional Transient Voltage Suppressor Diode",6,kg,0.000061,YES,,,,,,,,,EcoInvent,"diode production, glass-, for surface-mounting",kg,Input,"DO-214AC (SMA) package; mass from typical SMAJ series (~0.12g).https://www.mouser.ch/ProductDetail/Littelfuse/SMAJ58CA?qs=zHiv0nsVGmqWEBj8DDvFYg%3D%3D&utm_id=9873308309&utm_source=google&utm_medium=cpc&utm_marketing_tactic=emeacorp&gad_source=1&gad_campaignid=9873308309&gbraid=0AAAAADn_wf0xksvJXPRZmGpTG3_AWCgE9&gclid=CjwKCAjwspPOBhB9EiwATFbi5DVFIS5iZ0I7SaEpkD6SkhO4yjgczxct-NmvBDTe0JJtc29rDoJWNxoCKXAQAvD_BwE",,,,,,,,,,,,,,,
"D16, D17, D18, D19, D20, D21, D23, D24, D25, D26, D27, D28",0402,Discrete Semiconductors,Small Signal,ESD Protection,TI,0402ESDA-MLP,"0.05pF 8kV Bidirectional ESD Voltage Suppressor",12,kg,,NO,1.0,0.5,0.5,,6,7,0,,EcoInvent,"capacitor production, for surface-mounting",kg,Input,,,,,,,,,,,,,,,,
"D30, D31, D54, D55, D56, D57, D58, D59, D60, D61, D62, D63, D64, D65",SOD123,Discrete Semiconductors,Small Signal,Current Regulative,SEMITEC,S-103T,"Current Regulative Diode (CRD)",14,kg,0.000333,YES,,,,,,,,,EcoInvent,"diode production, glass-, for surface-mounting",kg,Input,"https://www.mouser.ch/ProductDetail/Semitec/S-103T?qs=wgO0AD0o1vvf9UGICXPRmQ%3D%3D&srsltid=AfmBOopD8b71ZGh61gk1tI5mDPGxJ7kz40yhpJ5_m9d2wYXbavCx1hei",,,,,,,,,,,,,,,
"D32_DIG_FAST_IN_CCT_0, D32_DIG_FAST_IN_CCT_1, D32_DIG_FAST_IN_CCT_2, D32_DIG_FAST_IN_CCT_3, D32_DIG_FAST_IN_CCT_4, D32_DIG_FAST_IN_CCT_5, D32_DIG_FAST_IN_CCT_6, D32_DIG_FAST_IN_CCT_7, D32_DIG_FAST_IN_CCT_8, D32_DIG_FAST_IN_CCT_9, D32_DIG_FAST_IN_CCT_10, D32_DIG_FAST_IN_CCT_11, D32_DIG_FAST_IN_CCT_12, D32_DIG_FAST_IN_CCT_13",SOT23,Discrete Semiconductors,Small Signal,Switching,DIODES INC.,BAS70-04,"30V Silicon Hot-Carrier Detector and Switching Diode",14,kg,,NO,2.9,1.3,1,,1.2,1.3,0.0035,,EcoInvent,"diode production, glass-, for surface-mounting",kg,Input,"SOT23-3 package; mass standard from casing.",,,,,,,,,,,,,,,
"D33_DIG_FAST_IN_CCT_0, D33_DIG_FAST_IN_CCT_1, D33_DIG_FAST_IN_CCT_2, D33_DIG_FAST_IN_CCT_3, D33_DIG_FAST_IN_CCT_4, D33_DIG_FAST_IN_CCT_5, D33_DIG_FAST_IN_CCT_6, D33_DIG_FAST_IN_CCT_7, D33_DIG_FAST_IN_CCT_8, D33_DIG_FAST_IN_CCT_9, D33_DIG_FAST_IN_CCT_10, D33_DIG_FAST_IN_CCT_11, D33_DIG_FAST_IN_CCT_12, D33_DIG_FAST_IN_CCT_13",SOT23,Discrete Semiconductors,Small Signal,Zener,NXP,BZX84-C4V7,"Zener Voltage Regulator",14,kg,,NO,2.9,1.3,1,,1.2,1.3,0.0035,,EcoInvent,"diode production, glass-, for surface-mounting",kg,Input,"SOT23-3 package; mass standard from casing.",,,,,,,,,,,,,,,
"D38, D39",SOD123FL,Discrete Semiconductors,Power,Schottky Rectifier,DIODES INC.,DFLS230,"Schottky Barrier Rectifier",2,kg,0.000018,YES,,,,,,,,,EcoInvent,"diode production, glass-, for surface-mounting",kg,Input,"https://www.mouser.mx/ProductDetail/Diodes-Incorporated/DFLS230-7?qs=JV7lzlMm3yJTkwg6QdustA%3D%3D&srsltid=AfmBOoqPfUZr9EODjAGri1UBJpfeRZ8CapF2HzTbel3GD8i6hwPfW7Xa",,,,,,,,,,,,,,,
D47,SOT23,Discrete Semiconductors,Small Signal,Schottky,DIODES INC.,BAT54C,"Dual Common Cathode Small Signal Schottky Diode",1,kg,,NO,2.9,1.3,1,,1.2,1.3,0.0035,,EcoInvent,"diode production, glass-, for surface-mounting",kg,Input,"SOT23-3 package; mass standard from casing.",,,,,,,,,,,,,,,
D48,SOT23,Discrete Semiconductors,Small Signal,Zener,DIODES INC.,BZX84C4V7,"Zener Diode",1,kg,,NO,2.9,1.3,1,,1.2,1.3,0.0035,,EcoInvent,"diode production, glass-, for surface-mounting",kg,Input,"SOT23-3 package; mass standard from casing.",,,,,,,,,,,,,,,
"D50, D51, D52, D53",SOD523,Discrete Semiconductors,Small Signal,ESD Protection,NEXPERIA,PESD3V3S1UB,"ESD protection diode (23kV)",4,kg,0.0000016,YES,,,,,,,,,EcoInvent,"diode production, glass-, for surface-mounting",kg,Input,"mass from casing",,,,,,,,,,,,,,,
"F1, F2, F3, F4, F5, F6, F8, F9, F10, F11, F12, F13",1206,Passives,Protection,PTC Fuse,BOURNS,MF-SM030,"Surface Mount PTC Resettable Fuse, 300mA, 60V, PTS Series",12,kg,0.000474,YES,,,,,,,,,EcoInvent,"electronic component, passive, unspecified",kg,Input,Mass info: https://www.tme.eu/bg/en/details/mf-sm030-2/smd-polymer-fuses/bourns/,,,,,,,,,,,,,,,
IC1,,IC,Logic / Mixed-Signal,USB Interface,FTDI,FT4232H-56Q,"Quad High Speed USB to Multipurpose UART/MPSSE IC",1,kg,0.000369,YES,,,,,,,,,EcoInvent,"integrated circuit production, logic type",kg,Input,"https://www.mouser.ch/ProductDetail/FTDI/FT4232H-56Q-REEL?qs=u4lROS522ZXOAajeXbX%2FmA%3D%3D&srsltid=AfmBOoo_CyuzmuQGSV8qIsJ3FK9ef2SL6_YhveYAmIMR28WsW7ui1qeg",,,,,,,,,,,,,,,
IC2,,IC,Memory,EEPROM,MICROCHIP,93LC56B-I/OT,"2K, 128X16-bit, 2.5V Microwire Compatible Serial EEPROM",1,kg,0.0000065,YES,,,,,,,,,EcoInvent,"integrated circuit production, logic type",kg,Input,"https://www.mouser.ch/ProductDetail/Microchip-Technology/93LC56BT-I-OT?qs=lQv0JY93vrc7B5Rh5LPW8g%3D%3D&utm_id=22436684839&utm_source=google&utm_medium=cpc&utm_marketing_tactic=emeacorp&gad_source=1&gad_campaignid=22433179847&gbraid=0AAAAADn_wf1l8ruSsPF_DckQU7MzW_QXa&gclid=CjwKCAjwspPOBhB9EiwATFbi5D_n54ESvg5TFVXDGnzANCaxzjxC9ymSBAajzYRTqbLjRmIF6muWYhoC3QoQAvD_BwE",,,,,,,,,,,,,,,
IC3,,IC,Analog,Power Management,MICROCHIP,MIC5219-3.3YM5,"3.3V 500mA Peak Output Low Drop-Out (LDO) Regulator",1,kg,0.000063,YES,,,,,,,,,EcoInvent,"integrated circuit production, logic type",kg,Input,"SOT23-5 package; mass from volume (0.0051 cm³) × 1.25 + metal_extra 0.0015 = 0.0079 g.https://www.mouser.ch/ProductDetail/Microchip-Technology/MIC5219-33YM5-TR?qs=U6T8BxXiZAWojkIJMtSJlw%3D%3D&utm_id=22436684839&utm_source=google&utm_medium=cpc&utm_marketing_tactic=emeacorp&gad_source=1&gad_campaignid=22433179847&gbraid=0AAAAADn_wf1l8ruSsPF_DckQU7MzW_QXa&gclid=CjwKCAjwspPOBhB9EiwATFbi5Hvx8qEgGwKmH4k0hTk5ddJ9Ah036eQNJRXK517bGR5Dy3IbDm4sGhoCU8cQAvD_BwE",,,,,,,,,,,,,,,
"IC4, IC5, IC49",,IC,Analog,Sensor,TEXAS INSTRUMENTS,LM75AIMM/NOPB,"-25° to +100°C ±2°C Digital Temperature Sensor and Thermal Watchdog with Two-Wire Interface",3,kg,0.000031,YES,,,,,,,,,EcoInvent,"integrated circuit production, logic type",kg,Input,"https://www.mouser.ch/ProductDetail/Texas-Instruments/LM75AIMMX-NOPB?qs=QbsRYf82W3EzczEYb3tXUw%3D%3D&utm_id=22436684839&utm_source=google&utm_medium=cpc&utm_marketing_tactic=emeacorp&gad_source=1&gad_campaignid=22433179847&gbraid=0AAAAADn_wf1l8ruSsPF_DckQU7MzW_QXa&gclid=CjwKCAjwspPOBhB9EiwATFbi5JrjytZua-y5B42GK1_LaayPaVKI0IkQFsEFVSFcvQmqFsOT2AWlyhoCXIsQAvD_BwE",,,,,,,,,,,,,,,
"IC6, IC7, IC60",SOIC-8,IC,Mixed-Signal,Isolator,TEXAS INSTRUMENTS,ISO1541D,"Low-Power Bi-Directional I2C Isolator",3,kg,,NO,4.9,3.9,1.75,,1.2,1.2,,,EcoInvent,"integrated circuit production, logic type",kg,Input,"https://www.mouser.mx/ProductDetail/Texas-Instruments/ISO1541D?qs=rg6Iqu58vpX7sSwEg8DO7Q%3D%3D&srsltid=AfmBOorTK5TtypdwEgo56vH5tqzxL9x4Zpbt0RSDXoWLVfm-YZbnnuwQ",,,,,,,,,,,,,,,
"IC8, IC42",,IC,Digital,Logic,TEXAS INSTRUMENTS,SN74LVC8T245RHL,"8-Bit Dual-Supply Bus Transceiver with Configurable Voltage Translation and 3-State Outputs",2,kg,0.000050,YES,,,,,,,,,EcoInvent,"integrated circuit production, logic type",kg,Input,"https://www.mouser.ch/ProductDetail/Texas-Instruments/SN74LVC8T245RHLR?qs=dT9u2OTAaVWMeuErzytHQg%3D%3D&srsltid=AfmBOopve09sA5PMaAvfty20jfjYyyxL3pM3-a_noOQlXR1kMdrqlZWP",,,,,,,,,,,,,,,
"IC9, IC10, IC22, IC23, IC24, IC33, IC38",,IC,Digital,Logic,TEXAS INSTRUMENTS,SN74AXC8T245RHL,"8-Bit Dual-Supply Bus Transceiver with Configurable Voltage Translation and 3-State Outputs",7,kg,0.000050,YES,,,,,,,,,EcoInvent,"integrated circuit production, logic type",kg,Input,"Same VQFN-24.",,,,,,,,,,,,,,,
"IC11_CONTACT_OUT_0, IC11_CONTACT_OUT_1, IC11_CONTACT_OUT_2, IC11_CONTACT_OUT_3, IC11_CONTACT_OUT_4, IC11_CONTACT_OUT_5",DIP6 SMD,Modules,Hybrid Relays,Solid State Relay,PANASONIC,AQV251A,"HE 1 Form A, PhotoMOS Relay, Low On-Resistance, 40V 500mA",1,kg,0.000427,YES,,,,,,,,,EcoInvent,"electronic component production, active, unspecified",kg,Input,The PhotoMOS is a solid-state relay combining an LED and MOSFETs in an SMD package. No specific ecoinvent dataset exists.,,,,,,,,,,,,,,,
"IC12, IC13, IC70, IC75",TSSOP14,IC,Digital,Logic,TEXAS INSTRUMENTS,SN74LV02APW,"Quadruple 2-Input Positive-NOR Gate",4,kg,0.0000572,YES,,,,,,,,,EcoInvent,"integrated circuit production, logic type",kg,Input,"https://www.mouser.ch/ProductDetail/Texas-Instruments/SN74LV02APW?qs=UG%2F8xqv%2F6Wcp3JUxMEyKAQ%3D%3D",,,,,,,,,,,,,,,
IC14,SOT89,IC,Analog,Power Management,STMICROELECTRONICS,L78L05ACUTR,"5V 100mA Positive Voltage Regulator",1,kg,0.00019,YES,,,,,,,,,EcoInvent,"integrated circuit production, logic type",kg,Input,"https://www.mouser.ch/ProductDetail/STMicroelectronics/L78L05ACUTR?qs=ea963RooIhgG%252BOLUK%2FI3vQ%3D%3D",,,,,,,,,,,,,,,
"IC15, IC17",TSSOP16,IC,Analog,Driver,TEXAS INSTRUMENTS,TPL7407LAPW,"30-V 7-Channel Low Side Driver",2,kg,0.000173,YES,,,,,,,,,EcoInvent,"integrated circuit production, logic type",kg,Input,"https://www.mouser.ch/ProductDetail/Texas-Instruments/TPL7407LAPWR?qs=5aG0NVq1C4w9BpsnF07yow%3D%3D",,,,,,,,,,,,,,,
IC16,SOT223,IC,Analog,Power Management,TEXAS INSTRUMENTS,TLV1117-18IDCY,"1.8V, 800mA Low-Dropout Voltage Regulator",1,kg,0.000112,YES,,,,,,,,,EcoInvent,"integrated circuit production, logic type",kg,Input,"https://www.mouser.ch/ProductDetail/Texas-Instruments/TLV1117-18IDCY?qs=p6lVfQR1GSoxnN6%252Be%252BbeYw%3D%3D",,,,,,,,,,,,,,,
