Designators,Casing,Section,Subsection,Ecoinvent_unit,unit,Total_quantity,Total_mass_kg,Ecoinvent_flow,Category,Manufacturer,Part_Number,Description,number_elements,Quantity_per_element,Has_datasheet_info,L_mm,W_mm,H_mm,Volume_cm3_excel,Density_min_g_cm3,Density_max_g_cm3,Metal_extra_g,mass_space_relation_m2/kg,Database,Direction,Comments,Order_index,Category_order,Group_order,Method,Volume_cm3,Mass_per_element_g,Density_used_g_cm3,Density_source,Validation_error
PCB,,PCB,,m2,m2,0.0168,0.051744,"printed wiring board production, for through-hole mounting, Pb free surface",AUTO,Panel of 2,EDA-05137-V1,"Panel of 2, 160x105 mm",1,0.0168,YES,160,105,,,,,,3.08,EcoInvent,Input,"Technological similarity: A power supply unit PCB is more representative of an inverter power card (2‑4 layers, power components) than a desktop mainboard (high‑density, many layers). Pb‑free consistency: The Pb‑free version aligns with the Pb‑free solder used elsewhere in the BOM (e.g., mounting process), avoiding methodological inconsistency and reflecting modern RoHS‑compliant practices.",1,1,1,M2_EQUIVALENT,,5.454545,,M2_RELATION,
IC3–IC6,,Modules,DC/DC Converters,kg,kg,0.0192,0.0192,"electronic component production, active, unspecified",AUTO,Traco Power,TRV 1-2413M,"19.2-28.8VDC to +15VDC/±67mA, Ripple and Noise (max) 100mVpk-pk,DC/DC Medical Converter",4,0.0048,YES,,,,,,,,,EcoInvent,Input,"It is intentionally designed as a ""rough proxy"" for active components when no better data exists.  Generic active component dataset used with mass scaling. This introduces uncertainty but is the best available option. The automotive converter dataset was rejected due to extreme scale difference.",4,1,4,DATASHEET_QTY_KG,,4.8,,MISSING,
IC7,DIP6 SMD,Modules,Hybrid relays,kg,kg,0.000427,0.000427,"electronic component production, active, unspecified",AUTO,Panasonic,AQV210EHA,"GE 1 Form A, PhotoMOS Relay, 5000V Reinforced Insulation, 350V 130mA",1,0.000427,YES,,,,,,,,,EcoInvent,Input,"The PhotoMOS is a solid-state relay combining an LED and MOSFETs in an SMD package. No specific ecoinvent dataset exists. The generic active dataset averages diodes, transistors, and ICs, which reasonably captures the mix of technologies present in the component.",6,1,5,DATASHEET_QTY_KG,,0.427,,MISSING,
F1,,Passives,Protection,kg,kg,1.0018708e-05,1.0018708e-05,"electronic component, passive, unspecified",AUTO,Littelfuse,microSMD005F,PolySwitch® Resettable PPTC Overcurrent Protection Device,1,1.0018708e-05,NO,3.21,2.57,0.72,,1.2,1.5,0.002,,EcoInvent,Input,"There is a big stimation, the other alternative is more described but it dit not the same technology.",8,1,7,CALCULATED,0.005939784,0.010019,1.35,MIN_MAX_AVG,
"R1–R4, R31, R35, R47, R48, R60",1206,Passives,Resistors,kg,kg,0.000115704,0.000115704,"resistor production, surface-mounted",AUTO,Generic,R1206_10K_1%_0.25W_100PPM,"10 kΩ, 1%, 0.25W, 100 ppm/°C, 1206",9,1.2856e-05,NO,3.2,1.6,0.55,,3,4,0.003,,EcoInvent,Input,The dataset explicitly represents surface‑mounted resistors.,29,1,16,CALCULATED,0.002816,0.012856,3.5,MIN_MAX_AVG,
"R5–R9, R41, R44, R53, R56–R59",1206,Passives,Resistors,kg,kg,0.000154272,0.000154272,"resistor production, surface-mounted",AUTO,Generic,R1206_47K_1%_0.25W_100PPM,"47 kΩ, 1%, 0.25W, 100 ppm/°C, 1206",12,1.2856e-05,NO,3.2,1.6,0.55,,3,4,0.003,,EcoInvent,Input,The dataset explicitly represents surface‑mounted resistors.,30,1,16,CALCULATED,0.002816,0.012856,3.5,MIN_MAX_AVG,
"R10, R11, R15–R30",1206,Passives,Resistors,kg,kg,0.000231408,0.000231408,"resistor production, surface-mounted",AUTO,Generic,R1206_20R_1%_0.25W_100PPM,"20 Ω, 1%, 0.25W, 100 ppm/°C, 1206",18,1.2856e-05,NO,3.2,1.6,0.55,,3,4,0.003,,EcoInvent,Input,The dataset explicitly represents surface‑mounted resistors.,31,1,16,CALCULATED,0.002816,0.012856,3.5,MIN_MAX_AVG,
"R12, R49–R52",1206,Passives,Resistors,kg,kg,6.428e-05,6.428e-05,"resistor production, surface-mounted",AUTO,Generic,R1206_10R_1%_0.25W_200PPM,"10 Ω, 1%, 0.25W, 200 ppm/°C, 1206",5,1.2856e-05,NO,3.2,1.6,0.55,,3,4,0.003,,EcoInvent,Input,The dataset explicitly represents surface‑mounted resistors.,32,1,16,CALCULATED,0.002816,0.012856,3.5,MIN_MAX_AVG,
"R13, R14, R32, R36–R40, R42, R43",1206,Passives,Resistors,kg,kg,0.00012856,0.00012856,"resistor production, surface-mounted",AUTO,Generic,R1206_1K_1%_0.25W_100PPM,"1 kΩ, 1%, 0.25W, 100 ppm/°C, 1206",10,1.2856e-05,NO,3.2,1.6,0.55,,3,4,0.003,,EcoInvent,Input,The dataset explicitly represents surface‑mounted resistors.,33,1,16,CALCULATED,0.002816,0.012856,3.5,MIN_MAX_AVG,
R33,1206,Passives,Resistors,kg,kg,1.2856e-05,1.2856e-05,"resistor production, surface-mounted",AUTO,Generic,R1206_2K_1%_0.25W_100PPM,"2 kΩ, 1%, 0.25W, 100 ppm/°C, 1206",1,1.2856e-05,NO,3.2,1.6,0.55,,3,4,0.003,,EcoInvent,Input,The dataset explicitly represents surface‑mounted resistors.,34,1,16,CALCULATED,0.002816,0.012856,3.5,MIN_MAX_AVG,
