Designators,Casing,Section,Subsection,Category,Manufacturer,Part_Number,Description,number_elements,unit,Quantity_per_element,Has_datasheet_info,L_mm,W_mm,H_mm,Volume_cm3_excel,Density_min_g_cm3,Density_max_g_cm3,Metal_extra_g,Other_extra_g,Database,Ecoinvent_flow,Ecoinvent_unit,Direction,Database_component_title,Comments,,
"IC4",,Module,DC/DC Converters,,TRACO POWER,TEN 6-2415N,"18-36VDC to 24VDC, Iout (max) 250mA, 6W DC-DC Converter",1,kg,0.0127,YES,,,,,,,,,EcoInvent,"electronic component production, active, unspecified",kg,Input,,"Mass from datasheet, aproximated as active",,
"IC5, IC6",TO-92,IC,Analog,,DALLAS MAXIM,DS18B20,"Programmable Resolution 1-Wire Digital Thermometer (-55°C to +125°C)",2,kg,0.000214,YES,,,,,,,,,EcoInvent,"integrated circuit production, logic type",kg,Input,,"As integrated circuit. Mass info: https://www.mouser.ch/ProductDetail/Traco-Power/DS18B20%2B?qs=3kCnFMRqPtFkJiNhvgRjIQ%3D%3D",,
"IC7, IC8",SOIC8,IC,Analog,,TEXAS INSTRUMENTS,INA141U,"Precision, Low Power, G = 10, 100 Instrumentation Amplifier",2,kg,,NO,4.9,3.9,1.75,,1.2,1.2,,,EcoInvent,"integrated circuit production, logic type",kg,Input,,,,
"J1,J3",,Electromechanical,Connectors,,TYCO ELECTRONICS,1-770166-0,"2 Circuits In-Line, Mini-Universal MATE-N-LOK Connetor",2,kg,0.00078,YES,,,,,,,,,EcoInvent,"electric connector production, wire clamp",kg,Input,,"Mass info:https://www.tme.eu/se/details/1-770166-0/signalkontaktdon-avstand-4-14mm/te-connectivity""/",,
J2,,Electromechanical,Connectors,,TYCO ELECTRONICS,640900-1,5 Circuits In-Line - Universal MATE-N-LOK Connector,1,kg,0.00319,YES,,,,,,,,,EcoInvent,"electric connector production, wire clamp",kg,Input,,Mass info: https://www.tme.eu/se/details/640900-1/signalkontaktdon-avstand-6-35mm/te-connectivity/,,
J4,,Electromechanical,Connectors,,3M,N3429-6302RB,"26 Contacts - Straight .100'' x .100'' Low Profile Black Four-Wall Header (Long Roll Pin Latch/Ejectors), 3000 Series",1,kg,,NO,52.4,8.6,27.2,,1.3,1.5,4,,EcoInvent,"electric connector production, wire clamp",kg,Input,,Calculated because there were different mass values depending on the website,,
"J5,J6",,Electromechanical,Connectors,,3M,N3428-6302RB,"20 Contacts - Straight .100'' x .100'' Low Profile Black Four-Wall Header (Long Roll Pin Latch/Ejectors), 3000 Series",2,kg,,NO,44.83,8.6,27.2,,1.3,1.5,3.5,,EcoInvent,"electric connector production, wire clamp",kg,Input,,Calculated because there were different mass values depending on the website,,
"R1 > R99, R121 > R123, R125 > R127, R129 > R131",1206,Passives,Resistors,,Generic, R1206_100R_1%_0.25W_100PPM ,"±1% 0.25W ±100ppm/°C General Purpose Thick Film Chip Resistor ",108,kg,,NO,3.2,1.6,0.55,,3,4,0.003,0,EcoInvent,"resistor production, surface-mounted",kg,Input,,The dataset explicitly represents surface‑mounted resistors.,,
"R100 > R109; R111 > R120, R124, R128; R133 > R136; R146 > R148; R150 > R152, R154, R165; R169 > R178, R180, R181; R190, R191, R194, R195; R197, R198",1206,Passives,Resistors,,Generic, R1206_100K_1%_0.25W_100PPM ,"±1% 0.25W ±100ppm/°C General Purpose Thick Film Chip Resistor ",52,kg,,NO,3.2,1.6,0.55,,3,4,0.003,0,EcoInvent,"resistor production, surface-mounted",kg,Input,,The dataset explicitly represents surface‑mounted resistors.,,
"R110, R138 > R143, R155 > R164",1206,Passives,Resistors,,Generic,R1206_1K_1%_0.25W_100PPM ," ±1% 0.25W ±100ppm/°C General Purpose Thick Film Chip Resistor ",17,kg,,NO,3.2,1.6,0.55,,3,4,0.003,0,EcoInvent,"resistor production, surface-mounted",kg,Input,,The dataset explicitly represents surface‑mounted resistors.,,
"R132, R137, R144, R145; R149, R166 > R168, R179; R182 > R189, R192, R193; R196, R201, R206 > R208; R211 > R214; R217 > R219",1206,Passives,Resistors,,Generic,R1206_10K_1%_0.25W_100PPM,"±1% 0.25W ±100ppm/°C General Purpose Thick Film Chip Resistor ",31,kg,,NO,3.2,1.6,0.55,,3,4,0.003,0,EcoInvent,"resistor production, surface-mounted",kg,Input,,The dataset explicitly represents surface‑mounted resistors.,,
"R153, R204, R205 ",1206,Passives,Resistors,,Generic,R1206_10R_1%_0.25W_200PPM ," ±1% 0.25W ±200ppm/°C General Purpose Thick Film Chip Resistor ",3,kg,,NO,3.2,1.6,0.55,,3,4,0.003,0,EcoInvent,"resistor production, surface-mounted",kg,Input,,The dataset explicitly represents surface‑mounted resistors.,,
"R199, R200 ",,Passives,Resistors,Precision Metal Foil Resistor,VISHAY FOIL RESISTOR ,Y6071020R000B9L,"±0.1% 0.3W ±2ppm/°C Hermetically Sealed, Ultra-High Precision Z-Foil Technology Resistor- HZ Series",2,kg,0.0014,YES,,,,,,,,0,EcoInvent,"resistor production, metal film type, through-hole mounting",kg,Input,,"Mass from the datasheet, metal film type is the closest technology",,
"R202, R203",1206,Passives,Resistors,Zero Ohm Jumper,Generic,R1206_0R_JUMPER ,"2A (0.05R Max DC Resistance) Zero Ohm Jumper ",3,kg,,NO,3.2,1.6,0.55,,3,4,0.003,0,EcoInvent,"resistor production, surface-mounted",kg,Input,,The dataset explicitly represents surface‑mounted resistors.,,
REG1,D2PAK,IC,Analog,Power management,STMicroelectronics,L7805ABD2T-TR," ""5V 1.5A Positive Voltage Regulator""",1,kg,,NO,10.29,9.65,4.83,,1.2,1.3,0.9674,,EcoInvent,"integrated circuit production, logic type",kg,Input,,"TO-263-2=D2PAK. Mass from casing.",,
"REG2,REG4",TO-220,IC,Analog,Power management,FAIRCHILD SEMICONDUCTOR,LM7815CT," ""3-Terminal 15V 1A Positive Voltage Regulatorr""",2,kg,,NO,10.67,4.7,16.3,,1.2,1.3,1.3,,EcoInvent,"integrated circuit production, logic type",kg,Input,,"mass calculated and it is similar to the one on:https://www.datasheets.com/texas-instruments/LM7815CT%2FNOPB",,
"REG3,REG5",TO-220,IC,Analog,Power management,FAIRCHILD SEMICONDUCTOR,LM7915CT, 3-Terminal 15V 1A Negative Voltage Regulator,2,kg,,NO,10.67,4.7,16.3,,1.2,1.3,1.3,,EcoInvent,"integrated circuit production, logic type",kg,Input,,Mass from casing,,
"T1",DPAK,Discrete Semiconductors,Power,MOSFET,ST MICROELECTRONICS,STD10NF10T4,100V 13A N-Channel STripFET® II Power MOSFET,1,kg,,NO,6.6,6.2,2.3,,1.2,1.3,0.215,,EcoInvent,"transistor production, surface-mounted",kg,Input,,Specific for surface‑mounted transistors.
T2,SOT23-3,Discrete Semiconductors,Small signal,MOSFET,Infineon,BSS119N,"100V, 190mA, N-Channel SIPMOS® Small-Signal-Transistor",1,kg,,NO,2.9,1.3,1,,1.2,1.3,0.0035,,EcoInvent,"transistor production, surface-mounted",kg,Input,,.
"T3",DPAK,Discrete Semiconductors,Power,General purpose,onsemi,MJD45H11,80V 8A PNP General-Purpose Power Transistor ,1,kg,,NO,6.6,6.2,2.3,,1.2,1.3,0.215,,EcoInvent,"transistor production, surface-mounted",kg,Input,,Specific for surface‑mounted transistors.
T4,SOT23-3,Discrete Semiconductors,Small signal,Bipolar transistor,onsemi,MMBT3906L,40V 200mA PNP General Purpose Transistor,1,kg,,NO,2.9,1.3,1,,1.2,1.3,0.0035,,EcoInvent,"transistor production, surface-mounted",kg,Input,,Specific for surface‑mounted transistors; matches SOT‑23 package.
TP1 > TP6,,Passives,Test PIN,,VERO TECHNOLOGIES,20-2136,Black Bead PCB Terminal Test Pin for 1.6mm PCB Thickness (1.32mm Hole),6,kg,8e-05,YES,,,,,,,,,EcoInvent,"electronic component, passive, unspecified",kg,Input,,"Passive generic not better aproximation"
HS1-HS6,,Hardware,Thermal Management,Heatsink,FISCHER ELEKTRONIK,FK 242 SA 220 O,"TO-220 Heat Sink Rth: 26°C/W",4,kg,0.001398,YES,,,,,,,,,EcoInvent,"market for aluminium, wrought alloy+ metal working, average for aluminium product manufacturing",kg,Input,,"aluminium wrought alloy used in electric components, for the metal workking rest of the world. Mass from:https://www.tme.com/sg/zh/details/fk242sa220o/san-re-qi/fischer-elektronik/fk-242-sa-220-o/",
"J4, J5, J6  screws",,Hardware,Mounting hardware,,3M,3341-5,"#4-24 x 5/16'' (7.94mm) Pan Head Cutting Screw, Fully Threaded, Stainless Steel",6,kg,,NO,,,,0.0805,7.8,7.9,0,0,EcoInvent,"market for steel, low-alloyed + metal working, average for metal product manufacturing",kg,Input,,"This combination represents the two required stages for metal-component LCAs: (1) stainless‑steel material production, and (2) forming/working processes needed to shape hardware like screws."
F2,,Passives,Protection,Fuse,MERSEN/FERRAZ SHAWMUT,L080464," Cylindrical 6.3x32mm, Very HRC, FA Very Fast Acting Fuse",1,kg,0.0025,YES,,,,,,,,,EcoInvent,"electronic component, passive, unspecified",kg,Input,0.008-0.01,"Mass from datasheet, aproximated as passive",
"FH2",,Electromechanical,Fuse holder,,BUSSMANN,1A1907-06-R,"Fuse Clip for 1/4"" (6.35)mm Diameter Fuses",1,kg,0.00074,YES,,,,,,,,,EcoInvent,"electronic component, passive, unspecified",kg,Input,,MASS INFO: https://www.mouser.ch/ProductDetail/Eaton-Electronics/BK-1A1907-06-R?qs=jGANiKWBgcjqTqTdin90Fg%3D%3D  
SMD_PROCESS,,Assembly Processes,SMD,,,,Assambly SMD components in the PCB,1,m2,,YES,205,110,,,,,,,EcoInvent,"mounting, surface mount technology, Pb-free solder",m2,Input,,
THT_PROCESS,,Assembly Processes,THT,,,,Assambly THT components in the PCB,1,m2,,YES,205,110,,,,,,,EcoInvent,"mounting, through-hole technology, Pb-free solder",m2,Input,,

